habitat,fate,product,species_group,years_since_harvest,proportion
1,landfill,sawtimber,softwood,35,0.1720
1,landfill,sawtimber,softwood,36,0.1735
1,landfill,sawtimber,softwood,37,0.1749
1,landfill,sawtimber,softwood,38,0.1763
1,landfill,sawtimber,softwood,39,0.1776
1,landfill,sawtimber,softwood,40,0.1789
1,landfill,sawtimber,softwood,41,0.1801
1,landfill,sawtimber,softwood,42,0.1813
1,landfill,sawtimber,softwood,43,0.1825
1,landfill,sawtimber,softwood,44,0.1836
1,landfill,sawtimber,softwood,45,0.1848
1,landfill,sawtimber,softwood,46,0.1858
1,landfill,sawtimber,softwood,47,0.1869
1,landfill,sawtimber,softwood,48,0.1879
1,landfill,sawtimber,softwood,49,0.1890
1,landfill,sawtimber,softwood,50,0.1900
1,landfill,sawtimber,softwood,51,0.1909
1,landfill,sawtimber,softwood,52,0.1919
1,landfill,sawtimber,softwood,53,0.1928
1,landfill,sawtimber,softwood,54,0.1937
1,landfill,sawtimber,softwood,55,0.1946
1,landfill,sawtimber,softwood,56,0.1955
1,landfill,sawtimber,softwood,57,0.1963
1,landfill,sawtimber,softwood,58,0.1972
1,landfill,sawtimber,softwood,59,0.1980
1,landfill,sawtimber,softwood,60,0.1988
1,landfill,sawtimber,softwood,61,0.1996
1,landfill,sawtimber,softwood,62,0.2004
1,landfill,sawtimber,softwood,63,0.2012
1,landfill,sawtimber,softwood,64,0.2019
1,landfill,sawtimber,softwood,65,0.2027
1,landfill,sawtimber,softwood,66,0.2034
1,landfill,sawtimber,softwood,67,0.2041
1,landfill,sawtimber,softwood,68,0.2048
1,landfill,sawtimber,softwood,69,0.2055
1,landfill,sawtimber,softwood,70,0.2062
1,landfill,sawtimber,softwood,71,0.2069
1,landfill,sawtimber,softwood,72,0.2076
1,landfill,sawtimber,softwood,73,0.2082
1,landfill,sawtimber,softwood,74,0.2089
1,landfill,sawtimber,softwood,75,0.2095
1,landfill,sawtimber,softwood,76,0.2102
1,landfill,sawtimber,softwood,77,0.2108
1,landfill,sawtimber,softwood,78,0.2114
1,landfill,sawtimber,softwood,79,0.2120
1,landfill,sawtimber,softwood,80,0.2126
1,landfill,sawtimber,softwood,81,0.2132
1,landfill,sawtimber,softwood,82,0.2138
1,landfill,sawtimber,softwood,83,0.2144
1,landfill,sawtimber,softwood,84,0.2150
1,landfill,sawtimber,softwood,85,0.2155
1,landfill,sawtimber,softwood,86,0.2161
1,landfill,sawtimber,softwood,87,0.2166
1,landfill,sawtimber,softwood,88,0.2172
1,landfill,sawtimber,softwood,89,0.2177
1,landfill,sawtimber,softwood,90,0.2182
1,landfill,sawtimber,softwood,91,0.2188
1,landfill,sawtimber,softwood,92,0.2193
1,landfill,sawtimber,softwood,93,0.2198
1,landfill,sawtimber,softwood,94,0.2203
1,landfill,sawtimber,softwood,95,0.2208
1,landfill,sawtimber,softwood,96,0.2213
1,landfill,sawtimber,softwood,97,0.2218
1,landfill,sawtimber,softwood,98,0.2223
1,landfill,sawtimber,softwood,99,0.2227
1,landfill,sawtimber,softwood,100,0.2232
1,landfill,sawtimber,softwood,101,0.2237
1,energy,sawtimber,softwood,1,0.2278
1,energy,sawtimber,softwood,2,0.2370
1,energy,sawtimber,softwood,3,0.2458
1,energy,sawtimber,softwood,4,0.2536
1,energy,sawtimber,softwood,5,0.2605
1,energy,sawtimber,softwood,6,0.2667
1,energy,sawtimber,softwood,7,0.2723
1,energy,sawtimber,softwood,8,0.2775
1,energy,sawtimber,softwood,9,0.2823
1,energy,sawtimber,softwood,10,0.2869
1,energy,sawtimber,softwood,11,0.2909
1,energy,sawtimber,softwood,12,0.2945
1,energy,sawtimber,softwood,13,0.2977
1,energy,sawtimber,softwood,14,0.3004
1,energy,sawtimber,softwood,15,0.3029
1,energy,sawtimber,softwood,16,0.3051
1,energy,sawtimber,softwood,17,0.3071
1,energy,sawtimber,softwood,18,0.3090
1,energy,sawtimber,softwood,19,0.3107
1,energy,sawtimber,softwood,20,0.3123
1,energy,sawtimber,softwood,21,0.3138
1,energy,sawtimber,softwood,22,0.3152
1,energy,sawtimber,softwood,23,0.3166
1,energy,sawtimber,softwood,24,0.3178
1,energy,sawtimber,softwood,25,0.3190
1,energy,sawtimber,softwood,26,0.3201
1,energy,sawtimber,softwood,27,0.3212
1,energy,sawtimber,softwood,28,0.3222
1,energy,sawtimber,softwood,29,0.3231
1,energy,sawtimber,softwood,30,0.3241
1,energy,sawtimber,softwood,31,0.3250
1,energy,sawtimber,softwood,32,0.3258
1,energy,sawtimber,softwood,33,0.3266
1,energy,sawtimber,softwood,34,0.3274
1,energy,sawtimber,softwood,35,0.3282
1,energy,sawtimber,softwood,36,0.3289
1,energy,sawtimber,softwood,37,0.3295
1,energy,sawtimber,softwood,38,0.3302
1,energy,sawtimber,softwood,39,0.3308
1,energy,sawtimber,softwood,40,0.3314
1,energy,sawtimber,softwood,41,0.3320
1,energy,sawtimber,softwood,42,0.3325
1,energy,sawtimber,softwood,43,0.3330
1,energy,sawtimber,softwood,44,0.3335
1,energy,sawtimber,softwood,45,0.3340
1,energy,sawtimber,softwood,46,0.3344
1,energy,sawtimber,softwood,47,0.3349
1,energy,sawtimber,softwood,48,0.3353
1,energy,sawtimber,softwood,49,0.3357
1,energy,sawtimber,softwood,50,0.3360
1,energy,sawtimber,softwood,51,0.3364
1,energy,sawtimber,softwood,52,0.3367
1,energy,sawtimber,softwood,53,0.3370
1,energy,sawtimber,softwood,54,0.3373
1,energy,sawtimber,softwood,55,0.3376
1,energy,sawtimber,softwood,56,0.3378
1,energy,sawtimber,softwood,57,0.3381
1,energy,sawtimber,softwood,58,0.3383
1,energy,sawtimber,softwood,59,0.3385
1,energy,sawtimber,softwood,60,0.3387
1,energy,sawtimber,softwood,61,0.3389
1,energy,sawtimber,softwood,62,0.3391
1,energy,sawtimber,softwood,63,0.3393
1,energy,sawtimber,softwood,64,0.3394
1,energy,sawtimber,softwood,65,0.3396
1,energy,sawtimber,softwood,66,0.3397
1,energy,sawtimber,softwood,67,0.3398
1,energy,sawtimber,softwood,68,0.3399
1,energy,sawtimber,softwood,69,0.3400
1,energy,sawtimber,softwood,70,0.3401
1,energy,sawtimber,softwood,71,0.3402
1,energy,sawtimber,softwood,72,0.3402
1,energy,sawtimber,softwood,73,0.3403
1,energy,sawtimber,softwood,74,0.3404
1,energy,sawtimber,softwood,75,0.3404
1,energy,sawtimber,softwood,76,0.3404
1,energy,sawtimber,softwood,77,0.3405
1,energy,sawtimber,softwood,78,0.3405
1,energy,sawtimber,softwood,79,0.3405
1,energy,sawtimber,softwood,80,0.3405
1,energy,sawtimber,softwood,81,0.3405
1,energy,sawtimber,softwood,82,0.3405
1,energy,sawtimber,softwood,83,0.3405
1,energy,sawtimber,softwood,84,0.3405
1,energy,sawtimber,softwood,85,0.3405
1,energy,sawtimber,softwood,86,0.3405
1,energy,sawtimber,softwood,87,0.3405
1,energy,sawtimber,softwood,88,0.3405
1,energy,sawtimber,softwood,89,0.3405
1,energy,sawtimber,softwood,90,0.3405
1,energy,sawtimber,softwood,91,0.3405
1,energy,sawtimber,softwood,92,0.3405
1,energy,sawtimber,softwood,93,0.3405
1,energy,sawtimber,softwood,94,0.3405
1,energy,sawtimber,softwood,95,0.3405
1,energy,sawtimber,softwood,96,0.3405
1,energy,sawtimber,softwood,97,0.3405
1,energy,sawtimber,softwood,98,0.3405
1,energy,sawtimber,softwood,99,0.3405
1,energy,sawtimber,softwood,100,0.3405
1,energy,sawtimber,softwood,101,0.3405
1,in_use,pulpwood,hardwood,1,0.5808
1,in_use,pulpwood,hardwood,2,0.5130
1,in_use,pulpwood,hardwood,3,0.4553
1,in_use,pulpwood,hardwood,4,0.4063
1,in_use,pulpwood,hardwood,5,0.3647
